automotive	4.5298613107389555E9	904962.0
baby products	4.541435362251095E9	907186.0
beauty products	4.533874327849016E9	906417.0
books	4.45762082595302E9	890948.0
clothing	4.560302171986045E9	911487.0
electronics	4.497526631038954E9	903266.0
footwear	4.465574983361041E9	894424.0
furniture	4.503986763162058E9	900244.0
gardening tools	4.531880837735942E9	905841.0
groceries	4.46691523097002E9	895470.0
health & wellness	4.454082892491006E9	890475.0
home appliances	4.473888361733891E9	895815.0
jewelry	4.463823670789954E9	893980.0
music instruments	4.512294466137042E9	902389.0
office equipment	4.46356494738101E9	892370.0
pet supplies	4.488741730382005E9	896724.0
sports equipment	4.469387812335995E9	894287.0
stationery	4.481794912395002E9	898265.0
toys	4.462453654118983E9	892741.0
video games	4.560108307495126E9	913326.0
